Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=KS
66202,KS,730.17,,05/03/2015,,
66040,KS,2.4,,09/03/2013,,
67147,KS,9.6,,06/06/2012,,
67585,KS,2.9,,01/27/2013,,
66210,KS,9.68,,06/20/2012,,
67501,KS,12.0,,05/11/2013,,
66442,KS,510.0,,05/14/2013,,
66215,KS,6.75,52998.0,12/28/2012,,
67212,KS,26.8,,09/10/2010,,
66211,KS,5.52,,04/01/2010,,
66044,KS,57.12,,07/02/2012,,
67839,KS,10.5,47250.0,10/04/2012,,
66044,KS,5.72,,07/01/2011,,
66502,KS,2.0,,12/28/2009,,
66212,KS,1.2,,08/08/2008,,
67701,KS,50.0,,10/20/2011,,
66046,KS,4.2,,12/06/2010,,
66006,KS,17.94,,12/07/2010,,
66850,KS,5.52,,04/21/2010,,
66227,KS,118.44,,12/16/2011,,
67550,KS,2.3,11800.0,04/20/2012,,
66509,KS,6.11,,06/13/2011,,
66509,KS,19.32,,06/12/2010,,
66006,KS,12.0,,09/26/2010,,
67054,KS,1.5,,06/18/2010,,
66062,KS,10.2,,08/08/2010,,
66047,KS,1.2,14000.0,09/03/2007,,
66061,KS,1.05,10413,03/15/2010,,
