Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=SD
57703,SD,152.0,,11/19/2013,,
57276,SD,11.82,,02/04/2014,,
57003,SD,1.44,,10/09/2013,,
57069,SD,2.12,,05/01/2014,,
57030,SD,4.0,32600.0,08/08/2013,,
57017,SD,11.0,44000.0,04/11/2014,,
57030,SD,10.34,49000.0,12/30/2011,,
57005,SD,1.175,8500.0,12/22/2011,,
57003,SD,0.87,4350.0,11/19/2011,,
57349,SD,4.73,23789.0,06/15/2010,,
57273,SD,14.4,,02/10/2011,,
57273,SD,20.4,,03/09/2011,,
57433,SD,10.08,,03/09/2011,,
57433,SD,25.92,,11/05/2010,,
57005,SD,4.2,30000.0,09/29/2010,,
57790,SD,3.15,,11/19/2010,,
